"filename", "language", "Markdown", "Python", "YAML", "Makefile", "XML", "Batch", "reStructuredText", "pip requirements", "JSON Lines", "comment", "blank", "total"
"d:\code\math-content-recognition-\texteller\paddleocr\CTCLabelDecode.py", "Python", 0, 166, 0, 0, 0, 0, 0, 0, 0, 17, 30, 213
"d:\code\math-content-recognition-\texteller\paddleocr\DBPostProcess.py", "Python", 0, 169, 0, 0, 0, 0, 0, 0, 0, 17, 36, 222
"d:\code\math-content-recognition-\texteller\paddleocr\operators.py", "Python", 0, 143, 0, 0, 0, 0, 0, 0, 0, 13, 31, 187
"d:\code\math-content-recognition-\texteller\paddleocr\predict_det.py", "Python", 0, 234, 0, 0, 0, 0, 0, 0, 0, 17, 27, 278
"d:\code\math-content-recognition-\texteller\paddleocr\predict_rec.py", "Python", 0, 315, 0, 0, 0, 0, 0, 0, 0, 20, 45, 380
"d:\code\math-content-recognition-\texteller\paddleocr\utility.py", "Python", 0, 490, 0, 0, 0, 0, 0, 0, 0, 104, 96, 690
"d:\code\math-content-recognition-\texteller\types\__init__.py", "Python", 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13
"d:\code\math-content-recognition-\texteller\types\bbox.py", "Python", 0, 42, 0, 0, 0, 0, 0, 0, 0, 3, 12, 57
"d:\code\math-content-recognition-\texteller\utils\__init__.py", "Python", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31
"d:\code\math-content-recognition-\texteller\utils\bbox.py", "Python", 0, 114, 0, 0, 0, 0, 0, 0, 0, 4, 23, 141
"d:\code\math-content-recognition-\texteller\utils\device.py", "Python", 0, 22, 0, 0, 0, 0, 0, 0, 0, 10, 10, 42
"d:\code\math-content-recognition-\texteller\utils\image.py", "Python", 0, 82, 0, 0, 0, 0, 0, 0, 0, 15, 25, 122
"d:\code\math-content-recognition-\texteller\utils\latex.py", "Python", 0, 53, 0, 0, 0, 0, 0, 0, 0, 39, 24, 116
"d:\code\math-content-recognition-\texteller\utils\misc.py", "Python", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6
"d:\code\math-content-recognition-\texteller\utils\path.py", "Python", 0, 32, 0, 0, 0, 0, 0, 0, 0, 6, 8, 46
"d:\code\math-content-recognition-\texteller\utils\pdf.py", "Python", 0, 91, 0, 0, 0, 0, 0, 0, 0, 53, 31, 175
"Total", "-", 477, 4200, 191, 9, 471, 26, 65, 0, 10857, 862, 1253, 18411
